brand,model,model_year,list_price,color,body_type,transmission,mileage
BMW,5-Series,2013,0.0,Black,Sedan,Automatic,"125,270"
Nissan,Rogue,2019,27499.0,Grey,Wagon,Automatic,"44,501"
Land Rover,Range Rover Evoque,2018,38488.0,Other,"SUV, Crossover",Automatic,"95,178"
BMW,M4,2017,67800.0,Grey,Coupe (2 door),Manual,"63,749"
Dodge,Challenger,2017,59800.0,Grey,Coupe (2 door),Automatic,"29,010"
Toyota,Camry,2020,36900.0,Grey,Sedan,Automatic,"31,197"
BMW,M3,2018,81888.0,Other,Sedan,Manual,"49,961"
Toyota,Tundra,2011,26999.0,White,Pickup Truck,Automatic,"174,532"
Mitsubishi,Eclipse Cross,2020,27990.0,Blue,"SUV, Crossover",Automatic,"48,490"
Mazda,Mazda6 Sport,2007,1700.0,Grey,Hatchback,Automatic,"310,000"
Chrysler,Pacifica,2017,0.0,White,Other,Automatic,"103,436"
Hyundai,Santa Fe,2015,15700.0,Gold,"SUV, Crossover",Automatic,"137,692"
Toyota,Sienna,2018,0.0,Grey,Other,Automatic,"53,325"
Toyota,Other,2012,14900.0,Grey,"SUV, Crossover",Automatic,"203,000"
Toyota,Yaris,2018,0.0,Blue,Hatchback,Automatic,"4,508"
Subaru,Legacy,2005,0.0,Other,Sedan,Automatic,"157,339"
Hyundai,Other,2014,11500.0,Black,"SUV, Crossover",Automatic,"192,000"
Hyundai,Elantra,2017,9900.0,Grey,Sedan,Manual,"147,000"
Hyundai,Tucson,2009,4500.0,Gold,"SUV, Crossover",Automatic,"230,000"
Hyundai,Tucson,2016,18800.0,Black,"SUV, Crossover",Automatic,"104,000"
Hyundai,Elantra,2017,11900.0,Blue,Sedan,Automatic,"182,000"
Toyota,Corolla,2011,7800.0,Grey,Sedan,Automatic,"229,000"
BMW,M3,2002,16500.0,Silver,Coupe (2 door),Manual,"280,000"
Mazda,3,2014,10500.0,White,Sedan,Automatic,"161,000"
Kia,Forte,2013,7400.0,White,Sedan,Automatic,"137,000"
Mitsubishi,Outlander,2006,4900.0,Grey,"SUV, Crossover",Automatic,"225,000"
Toyota,Camry,2004,2800.0,Silver,Sedan,Automatic,"363,999"
Hyundai,Sonata,2014,6400.0,Grey,Sedan,Automatic,"221,000"
Hyundai,Other,2014,11990.0,Silver,"SUV, Crossover",Automatic,"192,000"
